id;latitud;provincia;altitud;indicativo;nombre;indsinop;longitud
687;424014N;ARABA/ALAVA;570;9178X;CAMPEZO/KANPEZU;;022046W
688;414312N;BARCELONA;291;0149X;MANRESA;8174;015025E
689;411250N;TARRAGONA;406;0009X;ALFORJA;;005748E
690;393305N;ILLES BALEARS;50;B158X;CALVI?, ES CAPDELL?;;022759E
691;414037N;GIRONA;45;0281Y;BLANES;;024818E
692;420858N;LA RIOJA;855;9188;ENCISO;;021624W
693;411735N;TARRAGONA;233;0034X;VALLS;;011539E
694;423258N;NAVARRA;375;9280B;LARRAGA;;015127W
695;415251N;GIRONA;810;0363X;SANT HILARI;;023048E
696;420605N;BARCELONA;682;0092X;BERGA;;015127E
697;415454N;ZARAGOZA;475;9299X;TARAZONA;;014324W
698;432125N;GIPUZKOA;4;1014;HONDARRIBIA, MALKARROA;8029;014732W
699;412429N;BARCELONA;647;0194D;CORBERA, PIC D'AGULLES;8179;015306E
700;430317N;GIPUZKOA;255;1025X;BEASAIN, ARRIARAN;;021355W
701;415903N;ZARAGOZA;543;9336D;CASTEJON DE VALDEJASA;;005945W
702;431902N;GIPUZKOA;150;1052A;MUTRIKU;;022350W
703;412230N;BARCELONA;11;0201X;BARCELONA, DRASSANES;;021026E
704;411735N;ZARAGOZA;703;9354X;ALHAMA DE ARAGON;;015343W
705;395926N;ILLES BALEARS;80;B825B;ES MERCADAL;;040511E
706;430838N;CANTABRIA;1100;1167B;CAMALE?O, FUENTE DE;;044846W
707;413125N;BARCELONA;146;0229I;SABADELL AEROPUERTO;8192;020611E
708;430843N;LEON;953;1178Y;POSADA DE VALDE?N, SOTO;;045554W
709;423046N;HUESCA;775;9460X;SABI??NIGO;;002120W
710;385522N;ILLES BALEARS;3;B957;EIVISSA;;012629E
711;431808N;GIPUZKOA;28;1041A;ZUMAIA;8026;021504W
712;433921N;ASTURIAS;100;1210X;CABO PE?AS;8012;055055W
713;365554N;CADIZ;530;5919X;OLVERA;;051534W
714;430818N;GIPUZKOA;470;1049N;ELGETA;;022945W
715;432835N;A CORU?A;4;1354C;FERROL;8005;081544W
716;425529N;A CORU?A;230;1400;FISTERRA;8040;091729W
717;431521N;CANTABRIA;80;1089U;RAMALES DE LA VICTORIA;;032815W
718;362756N;CADIZ;28;5972X;SAN FERNANDO;8453;061220W
719;422550N;PONTEVEDRA;19;1484;PONTEVEDRA, INSTITUTO;;083850W
720;431444N;CANTABRIA;196;1124E;VILLACARRIEDO;;035058W
721;364304N;MALAGA;54;6156X;M?LAGA, CENTRO METEOROL?GICO;8481;042854W
722;413702N;LLEIDA;199;9771;LLEIDA, OBSERVATORIO;;003716E
723;433220N;ASTURIAS;3;1208;GIJ?N;;053815W
724;380611N;MURCIA;643;7119B;CARAVACA DE LA CRUZ;8365;015238W
725;404913N;TARRAGONA;50;9981A;ESTACI?N DE TORTOSA (ROQUETES);8238;002936E
726;420445N;OURENSE;616;1735X;XINZO DE LIMIA;8050;074401W
727;425719N;ASTURIAS;1310;1302F;DEGA?A;;062821W
728;380257N;MURCIA;690;7127X;BULLAS;;014143W
729;403924N;AVILA;1143;2444C;?VILA, AYUNTAMIENTO;;044201W
730;432553N;LUGO;125;1344X;MONDO?EDO;;072142W
731;404735N;MADRID;1893;2462;PUERTO DE NAVACERRADA;8215;040038W
732;374531N;MURCIA;281;7218Y;TOTANA;;013046W
733;410735N;SEGOVIA;870;2482B;MIGUELA?EZ;;042233W
734;382359N;ALICANTE;575;7247X;EL PIN?S/PINOSO;8357;010217W
735;413319N;ZAMORA;702;2565;CORESES;;053750W
736;430938N;A CORU?A;50;1393;CABO VIL?N;8006;091239W
737;384648N;VALENCIA;622;8005X;FONTANARS DELS ALFORINS;;004745W
738;405413N;SALAMANCA;817;2873X;BARBADILLO;;054647W
739;425954N;LUGO;442;1518A;LUGO;;073309W
740;425705N;BURGOS;915;9012E;SANTA GADEA DE ALFOZ;;035726W
741;414100N;ZAMORA;840;2966D;ALCA?ICES;;061805W
742;415804N;SORIA;1197;2005Y;VINUESA, QUINTANAREJO;;024658W
743;405323N;MADRID;1159;3104Y;RASCAFR?A;;035318W
744;424114N;BURGOS;460;9069C;MIRANDA DE EBRO;;025738W
745;403805N;GUADALAJARA;685;3168A;GUADALAJARA, INSTITUTO;;031000W
746;412510N;SORIA;978;2048A;MOR?N DE ALMAZ?N;;022513W
747;424231N;HUESCA;1025;9208E;ARAG??S DEL PUERTO;8095;004022W
748;414445N;BURGOS;955;2106B;CORU?A DEL CONDE;;032255W
749;401842N;MADRID;533;3182Y;ARGANDA DEL REY;;032952W
750;424204N;NAVARRA;585;9262P;MONREAL/ELO;;012944W
751;403935N;MADRID;924;3268C;ALPEDRETE;;040103W
752;425338N;PALENCIA;1575;2362C;VELILLA DEL R?O CARRI?N, CAMPORREDONDO DE ALBA;;044249W
753;424634N;NAVARRA;572;9263X;ARANGUREN, ILUNDAIN;8089;013157W
754;400640N;CACERES;690;3436D;GARGANTA LA OLLA;;054705W
755;422836N;LEON;919;2734D;ASTORGA;;060428W
756;425508N;NAVARRA;432;9274X;IRURTZUN;;015006W
757;392453N;CACERES;444;3576X;VALENCIA DE ALC?NTARA;8260;071352W
758;413202N;ZAMORA;790;2804F;VILLADEPERA;;060831W
759;411433N;ZARAGOZA;215;9574B;CASPE, PLANA DEL PIL?N;8165;000407W
760;392500N;CUENCA;728;4090Y;SAN CLEMENTE;8256;022514W
761;405734N;SALAMANCA;790;2867;SALAMANCA AEROPUERTO;8202;052954W
762;364454N;GRANADA;20;6267X;SALOBRE?A;;033443W
763;422837N;HUESCA;825;9843A;SEIRA;;002603E
764;395607N;TOLEDO;733;3099Y;OCA?A;;032946W
765;420820N;HUESCA;463;9901X;HUESCA;;002342W
766;365047N;ALMERIA;21;6325O;ALMER?A AEROPUERTO;8487;022125W
767;403933N;GUADALAJARA;639;3168C;GUADALAJARA, EL SERRANILLO;8226;031024W
768;414651N;HUESCA;218;9918Y;TAMARITE DE LITERA, LA MELUSA;;002237E
769;384631N;CIUDAD REAL;535;4300Y;ALMAD?N;;045043W
770;373517N;MURCIA;66;7007Y;MAZARR?N;;011350W
771;402654N;MADRID;665;3194Y;POZUELO DE ALARC?N;;034848W
772;381606N;MURCIA;955;7080X;MORATALLA;;015911W
773;374354N;HUELVA;270;4584X;EL CERRO DE AND?VALO;;065632W
774;392833N;CACERES;459;3469;C?CERES, CIUDAD;;062235W
775;285811N;LAS PALMAS;376;C018J;T?AS;;134125W
776;380229N;MURCIA;255;7172X;MULA;;012657W
777;392931N;TOLEDO;690;4067;MADRIDEJOS;8273;033142W
778;285132N;LAS PALMAS;6;C019V;YAIZA PLAYA BLANCA;;135006W
779;383606N;MURCIA;640;7275C;YECLA;8356;010935W
780;385703N;CIUDAD REAL;626;4116I;ALMAGRO / FAMET;8349;034431W
781;290837N;LAS PALMAS;277;C038N;HAR?A;;132921W
782;384703N;ALICANTE;15;8050X;J?VEA/ X?BIA;8370;001000E
783;385457N;BADAJOZ;228;4410X;M?RIDA;8331;062308W
784;283759N;SANTA CRUZ DE TENERIFE;33;C139E;LA PALMA AEROPUERTO;60005;174518W
785;385544N;VALENCIA;5;8058X;OLIVA;8282;000545W
786;384120N;BADAJOZ;371;4436Y;ALMENDRALEJO;;062140W
787;280625N;STA. CRUZ DE TENERIFE;1474;C314Z;VALLEHERMOSO, ALTO IGUALERO;;171457W
788;402103N;TERUEL;902;8368U;TERUEL;8235;010727W
789;371048N;GRANADA;1197;5107D;D?LAR;;025911W
790;381231N;BADAJOZ;602;4501X;FUENTE DE CANTOS;;061841W
791;281225N;SANTA CRUZ DE TENERIFE;403;C419L;LOMO DEL BALO;60024;164731W
792;401338N;CASTELLON;420;8492X;ATZENETA DEL MAESTRAT;;001011W
793;381853N;JAEN;580;5181D;ARROYO DEL OJANCO;8352;025323W
794;381755N;BADAJOZ;381;4511C;JEREZ DE LOS CABALLEROS;8337;064554W
795;282141N;STA. CRUZ DE TENERIFE;906;C456P;CITFAGRO_70_BENIJO;;163248W
796;404643N;GUADALAJARA;1185;9377Y;EL PEDREGAL;;013406W
797;382040N;JAEN;770;5246;SANTA ELENA;8350;033207W
798;280647N;LAS PALMAS;15;C659M;LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA;60032;152517W
799;375056N;CORDOBA;90;5402;C?RDOBA AEROPUERTO;8410;045048W
800;423730N;LLEIDA;952;9657X;ESTERRI D'?NEU;;010734E
801;372905N;CORDOBA;550;5412X;PRIEGO DE C?RDOBA;;041228W
802;280830N;LAS PALMAS;86;C669B;ARUCAS;;153024W
803;381604N;BADAJOZ;581;5473X;AZUAGA;;054110W
804;421907N;HUESCA;760;9751;SOPEIRA;;004449E
805;291347N;LAS PALMAS;19;C839X;LA GRACIOSA;60045;133037W
806;374837N;CORDOBA;275;5429X;C?RDOBA, PR?GDENA;;042744W
807;412158N;LLEIDA;673;9772X;LA POBLA DE C?RVOLES;;005449E
808;370352N;GRANADA;3092;5511;PRADOLLANO, PARQUE NACIONAL SIERRA NEVADA;;032217W
809;413540N;BARCELONA;738;0158X;MONISTROL DE MONTSERRAT;;015021E
810;375535N;SEVILLA;550;5704B;CAZALLA DE LA SIERRA;8392;054611W
811;370940N;GRANADA;760;5582A;LOJA;8414;040910W
812;421205N;HUESCA;600;9855E;CAPELLA, LAGUARRES;;002758E
813;412506N;BARCELONA;408;0200E;BARCELONA, FABRA;;020727E
814;370952N;SEVILLA;87;5796;MOR?N DE LA FRONTERA;8397;053641W
815;371351N;CORDOBA;465;5598X;BENAMEJ?;;043252W
816;410018N;TARRAGONA;112;9975X;RASQUERA;;003649E
817;431250N;GIPUZKOA;165;1021X;ERRENTERIA, A?ARBE;;015244W
818;364460N;MALAGA;760;6032X;RONDA INSTITUTO;;051007W
819;363757N;MALAGA;676;6045X;ALPANDEIRE;;051211W
820;431823N;GIPUZKOA;250;1024E;DONOSTIA / SAN SEBASTI?N, IGELDO;8027;020228W
821;364260N;MALAGA;25;6172O;M?LAGA, PUERTO;8479;042511W
822;365117N;MALAGA;172;6127X;?LORA;;044148W
823;430306N;GIPUZKOA;460;1037X;LEGAZPI;;022014W
824;364546N;MALAGA;169;6213X;NERJA;;035043W
825;432230N;BIZKAIA;81;1059X;PUNTA GALEA;8059;030118W
826;372424N;ALMERIA;508;6364X;ALBOX;;020905W
827;364952N;ALMERIA;7;6297;ALMER?A;;022720W
828;430328N;ARABA/ALAVA;617;1044X;ARAMAIO, ETXAGUEN;;023523W
829;365632N;ALMERIA;222;6332Y;CARBONERAS;8488;015425W
830;432526N;CANTABRIA;3;1109;SANTANDER AEROPUERTO;8021;034932W
831;374827N;MURCIA;205;7020C;MURCIA AEROPUERTO;;010741W
832;430547N;BIZKAIA;270;1064L;OROZKO, IBARRA;;025137W
833;374720N;MURCIA;4;7031;SAN JAVIER AEROPUERTO;8433;004812W
834;383231N;ALBACETE;605;7096B;HELL?N;8355;014211W
835;432928N;CANTABRIA;52;1111;SANTANDER;8023;034802W
836;383517N;ALBACETE;615;7103Y;TOBARRA;;014122W
837;431210N;BIZKAIA;100;1074C;AMOREBIETA-ETXANO;;024222W
838;392332N;VALENCIA;186;8337X;TUR?S;;003729W
839;382308N;ALICANTE;233;8013X;NOVELDA;;004528W
840;430139N;ASTURIAS;780;1309C;IBIAS, SAN ANTOLIN;;065306W
841;424458N;HUESCA;1197;9198X;CANFRANC;;003058W
842;390801N;VALENCIA;305;8270X;BICORP;;004724W
843;422921N;NAVARRA;390;9252X;OLITE/ERRIBERRI;;013920W
844;425317N;A CORU?A;370;1428;SANTIAGO DE COMPOSTELA AEROPUERTO;8042;082438W
845;425814N;NAVARRA;615;9257X;ESTERIBAR, EMBALSE DE EUGI;;013101W
846;425059N;ARABA/ALAVA;521;9087;VITORIA AER?DROMO;;023922W
847;424418N;A CORU?A;100;1473A;PADR?N;8039;083738W
848;413938N;ZARAGOZA;249;9434;ZARAGOZA, AEROPUERTO;8160;010015W
849;423402N;ARABA/ALAVA;575;9145X;LEZA;;023758W
850;423519N;LUGO;612;1658;FOLGOSO DO COUREL;;071130W
851;424157N;HUESCA;1100;9453X;BIESCAS, EMBALSE DE B?BAL;;001908W
852;421217N;LLEIDA;807;9698U;TALARN;8112;005153E
853;421760N;OURENSE;112;1701X;RIBADAVIA;;080745W
854;404754N;TERUEL;755;9561X;CASTELLOTE;;001855W
855;413734N;LLEIDA;186;9771C;LLEIDA;8171;003553E
856;432238N;CANTABRIA;150;1740;SANTILLANA DEL MAR, ALTAMIRA;;040728W
857;414626N;HUESCA;380;9908X;LANAJA;;001959W
858;414319N;SORIA;960;2084Y;UCERO;;030249W
859;411038N;TARRAGONA;370;9947X;LA POBLA DE MASSALUCA;;002112E
860;431521N;CANTABRIA;940;1176A;TRESVISO;;044006W
861;412222N;SEGOVIA;993;2135A;FRESNO DE CANTESPINO;;033026W
862;412510N;VALLADOLID;724;2507Y;RUEDA;;045749W
863;431415N;ASTURIAS;1236;1178R;SOTRES, PARQUE NACIONAL PICOS DE EUROPA;;044412W
864;402102N;AVILA;1525;2811A;NAVARREDONDA DE GREDOS;8206;050835W
865;433401N;ASTURIAS;127;1212E;ASTURIAS AEROPUERTO;8011;060239W
866;404356N;SALAMANCA;897;2863C;PEDRAZA DE ALBA;;052158W
867;424137N;PONTEVEDRA;269;1468X;A ESTRADA;;083007W
868;411816N;ZAMORA;804;2885K;FRESNO DE SAYAGO;;060120W
869;421419N;PONTEVEDRA;255;1495;VIGO AEROPUERTO;8045;083726W
870;402800N;MADRID;609;3129;MADRID AEROPUERTO;8221;033320W
871;421956N;OURENSE;148;1690B;OURENSE,INSTITUTO;;075152W
872;404555N;GUADALAJARA;835;3209Y;BRIHUEGA;;025227W
873;421058N;OURENSE;492;1706A;ALLARIZ;;074746W
874;400451N;CACERES;351;3512X;MONTEHERMOSO;;062020W
875;422125N;BURGOS;891;2331;BURGOS AEROPUERTO;8075;033713W
876;401029N;CACERES;560;3536X;HOYOS;;064328W
877;405648N;SEGOVIA;990;2465A;SEGOVIA, INSTITUTO;;040657W
878;390060N;ALBACETE;918;4096Y;MUNERA;;022920W
879;413254N;ZAMORA;710;2536D;MORALES DEL TORO;;051617W
880;381354N;BADAJOZ;655;4386B;LLERENA;8336;060101W
881;420539N;VALLADOLID;782;2593D;VILLAL?N DE CAMPOS;;050228W
882;375207N;HUELVA;572;4560Y;ALAJAR;8380;064030W
883;423712N;LEON;916;2626Y;CUBILLAS DE RUEDA;;051136W
884;373431N;HUELVA;280;4575X;VALVERDE DEL CAMINO;;064604W
885;420441N;ZAMORA;737;2777K;SANTIBA?EZ DE VIDRIALES;;060026W
886;372703N;HUELVA;145;4622X;VILLARRASA;;063812W
887;403806N;SALAMANCA;680;2946X;SAELICES EL CHICO;8195;063600W
888;375457N;JAEN;782;5038X;CAZORLA;8353;030014W
889;384008N;CIUDAD REAL;665;5304Y;PUERTOLLANO;;040333W
890;403418N;CUENCA;1214;3040Y;BETETA;;020435W
891;371123N;GRANADA;775;5515X;GRANADA-CARTUJA;;033544W
892;403749N;GUADALAJARA;727;3168D;GUADALAJARA;8226;030901W
893;370553N;HUELVA;41;5860E;MOGUER, EL ARENOSILLO;8384;064417W
894;402540N;MADRID;763;3338;ROBLEDO DE CHAVELA;8212;041460W
895;363820N;CADIZ;21;5910;ROTA, BASE NAVAL;8449;061957W
896;400235N;CACERES;415;3519X;PLASENCIA;8252;060509W
897;362608N;CADIZ;42;6042I;JIMENA DE LA FRONTERA;;052342W
898;393550N;TOLEDO;692;4061X;QUINTANAR DE LA ORDEN;8275;030254W
899;391010N;BADAJOZ;447;4244X;HERRERA DEL DUQUE;8264;050344W
900;363714N;MALAGA;85;6088X;TORREMOLINOS;;043054W
901;385300N;BADAJOZ;186;4452;BADAJOZ AEROPUERTO;8330;064850W
902;370146N;MALAGA;408;6106X;ANTEQUERA;8413;044454W
903;363928N;MALAGA;230;6143X;CO?N;;044539W
904;381042N;BADAJOZ;586;4520X;FREGENAL DE LA SIERRA;;063942W
905;364629N;ALMERIA;98;6291B;EL EJIDO;;024847W
906;355319N;CEUTA;87;5000C;CEUTA;60320;052049W
907;382336N;ALBACETE;680;7066Y;YESTE, EMBALSE FUENSANTA;;021308W
908;380048N;CORDOBA;155;5361X;MONTORO;;041949W
909;390648N;VALENCIA;25;8300X;CARCAIXENT;;002645W
910;374728N;SEVILLA;450;5733X;ALMAD?N DE LA PLATA;;060430W
911;402511N;TERUEL;1130;8354X;ALBARRAC?N;;012629W
912;371436N;SEVILLA;255;5998X;OSUNA;;050645W
913;392906N;VALENCIA;56;8414A;VALENCIA AEROPUERTO;8284;002829W
914;364322N;GRANADA;12;6268X;MOTRIL;8485;033149W
915;424449N;BURGOS;1017;9027X;SARGENTES DE LA LORA;;035304W
916;364403N;GRANADA;235;6272X;CASTELL DE FERRO;;032248W
917;421034N;LA RIOJA;371;9293X;ALFARO, LA PLANA;;014438W
918;370545N;GRANADA;2300;6299I;LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA;;025752W
919;405943N;TERUEL;1255;9436X;FONFR?A;;010515W
920;364319N;ALMERIA;42;6329X;CABO DE GATA;;021135W
921;420146N;HUESCA;390;9491X;ALMUD?VAR;;003509W
922;374642N;MURCIA;4;7031X;SAN JAVIER AEROPUERTO;8433;004821W
923;410152N;TERUEL;800;9513X;MUNIESA;;004820W
924;381358N;MURCIA;265;7145D;CIEZA;8363;012250W
925;422549N;LLEIDA;1940;9590D;CAP DE REC;8940;014003E
926;380007N;MURCIA;62;7178I;MURCIA;8430;011015W
927;422117N;LLEIDA;677;9619;LA SEU D'URGELL;8115;012746E
928;375142N;MURCIA;157;7227X;ALHAMA DE MURCIA;;012005W
929;413701N;LLEIDA;252;9729X;MOLLERUSSA;;005160E
930;381715N;ALICANTE;110;8018X;ELX/ELCHE;;004050W
931;420117N;HUESCA;305;9866C;BARBASTRO;;000826E
932;381658N;ALICANTE;43;8019;ALICANTE-ELCHE AEROPUERTO;8360;003415W
933;394512N;VALENCIA;515;8395X;CHELVA;;005937W
934;402550N;TERUEL;1380;8458X;CEDRILLAS;;005058W
935;400516N;CASTELLON;601;8472A;MONTANEJOS;;003249W
936;425219N;ARABA/ALAVA;513;9091R;VITORIA-GASTEIZ AEROPUERTO;8080;024358W
937;425145N;NAVARRA;838;9218A;ISABA/IZABA;;005529W
938;422927N;ZARAGOZA;626;9244X;SOS DEL REY CAT?LICO;8090;011248W
939;423117N;NAVARRA;440;9245X;C?SEDA;;012159W
940;420135N;SORIA;1096;9287A;SAN PEDRO MANRIQUE;;021351W
941;415732N;NAVARRA;410;9301X;MONTEAGUDO;;014126W
942;414052N;LLEIDA;463;9718X;TORDERA - GRANYANELLA;;011323E
943;413902N;LLEIDA;388;9720X;T?RREGA;8173;010858E
944;423815N;HUESCA;1076;9814X;TORLA - ORDESA;;000643W
945;423558N;HUESCA;1120;9838B;BENASQUE;;003114E
946;404157N;TARRAGONA;1;9987P;SANT JAUME D'ENVEJA;8240;004836E
947;424131N;LLEIDA;2467;9988B;CAP DE VAQU?IRA;8936;005826E
