id;latitud;provincia;altitud;indicativo;nombre;indsinop;longitud
412;421745N;LEON;788;2664B;VALENCIA DE DON JUAN;;053017W
413;413535N;VALLADOLID;756;2166Y;PE?AFIEL;;040729W
414;351635N;MELILLA;52;6000A;MELILLA;60338;025723W
415;405030N;GUADALAJARA;1062;3013;MOLINA DE ARAG?N;8232;015244W
416;415735N;BURGOS;1080;2298;PALACIOS DE LA SIERRA;8149;030754W
417;364450N;ALMERIA;8;6277B;ADRA;8486;030114W
418;410013N;GUADALAJARA;910;3103;PANTANO EL VADO;;031807W
419;402118N;SALAMANCA;1960;2491C;LA COVATILLA, ESTACI?N DE ESQU?;8205;054124W
420;372502N;MURCIA;32;7002Y;?GUILAS;8432;013513W
421;403260N;MADRID;672;3125Y;SAN SEBASTI?N DE LOS REYES;;033700W
422;423518N;LEON;916;2661;LE?N, VIRGEN DEL CAMINO;8055;053904W
423;375534N;MURCIA;985;7195X;CARAVACA DE LA CRUZ, LOS ROYOS;;020330W
424;393530N;CACERES;923;3386A;NAVALVILLAR DE IBOR;;052330W
425;420039N;ZAMORA;715;2755X;BENAVENTE;8056;054000W
426;373405N;MURCIA;445;7211B;PUERTO LUMBRERAS;;014750W
427;400821N;AVILA;350;3422D;CANDELEDA;;051841W
428;405727N;SALAMANCA;775;2870;SALAMANCA;8201;053944W
429;384239N;ALICANTE;530;8059C;ALCOI/ALCOY;;002736W
430;393922N;CUENCA;763;4093Y;OSA DE LA VEGA;;024536W
431;404530N;GUADALAJARA;1250;3021Y;ZAOREJAS;;021159W
432;393432N;VALENCIA;758;8309X;UTIEL;8281;011441W
433;382434N;CORDOBA;575;4263X;VALSEQUILLO;;052102W
434;400402N;MADRID;540;3100B;ARANJUEZ;8229;033246W
435;402145N;TERUEL;1515;8486X;MOSQUERUELA;;002716W
436;391851N;CACERES;590;4339X;CA?AMERO;;052208W
437;405906N;GUADALAJARA;990;3140Y;MANDAYONA;;024536W
438;395921N;CASTELLON;23;8501;CASTELL? DE LA PLANA;;000156W
439;371524N;HUELVA;17;4605;HUELVA;;065659W
440;395305N;TOLEDO;513;3260B;TOLEDO;8272;040243W
441;425512N;BURGOS;580;9051;MEDINA DE POMAR;8063;032858W
442;355344N;CEUTA;200;5000A;CEUTA, MONTE HACHO;;051732W
443;392817N;CACERES;394;3469A;C?CERES;8261;062020W
444;421351N;LA RIOJA;1006;9136X;ANGUIANO, VALVANERA;;025216W
445;373021N;GRANADA;785;5047E;BAZA;8424;024406W
446;395217N;CACERES;336;3540X;ZARZA LA MAYOR;;065136W
447;423451N;LLEIDA;1907;9660;SANT MAURICI (LLAC);;010027E
448;372951N;JAEN;908;5406X;ALCAL? LA REAL;;035429W
449;391915N;CIUDAD REAL;651;4195E;ALCORNOQUERA, PARQUE NACIONAL CABA?EROS;;042342W
450;422436N;LLEIDA;2410;9677;PORT AIN?;8938;011253E
451;370810N;GRANADA;695;5514Z;GRANADA BASE A?REA;8420;033800W
452;382847N;BADAJOZ;542;4260;PERALEDA DEL ZAUCEJO;;053439W
453;392944N;ILLES BALEARS;140;B334X;LLUCMAJOR;;025330E
454;370347N;GRANADA;2856;5516D;SIERRA NEVADA 'RADIOTELESCOPIO';8980;032313W
455;383435N;BADAJOZ;474;4362X;RETAMAL DE LLERENA;;055045W
456;394748N;ILLES BALEARS;2;B605X;MURO, S'ALBUFERA;;030617E
457;375849N;HUELVA;267;4527X;AROCHE;;065833W
458;380115N;CORDOBA;525;5394X;C?RDOBA, EMBALSE DE GUADANU?O;;044748W
459;281327N;STA. CRUZ DE TENERIFE;2150;C406G;LA OROTAVA, CA?ADAS TEIDE;;163734W
460;370814N;GRANADA;687;5514;GRANADA BASE A?REA;8420;033753W
461;362501N;MALAGA;19;6058I;ESTEPONA;8463;050918W
462;281311N;STA. CRUZ DE TENERIFE;2071;C412N;CITFAGRO_89_CHAVAO;;164219W
463;394121N;ILLES BALEARS;60;B087X;BANYALBUFAR;;023046E
464;362860N;MALAGA;2;6083X;MARBELLA;;044425W
465;282604N;STA. CRUZ DE TENERIFE;567;C457I;LA VICTORIA DE ACENTEJO;;162716W
466;364260N;MALAGA;25;6172X;M?LAGA;;042511W
467;282223N;STA. CRUZ DE TENERIFE;667;C468X;SAN JUAN DE LA RAMBLA;;163733W
468;371044N;ALMERIA;7;6340X;GARRUCHA, PUERTO;;014860W
469;280431N;LAS PALMAS;683;C656V;TEROR;;153250W
470;392104N;ILLES BALEARS;3;B373X;CAMPOS, SALINES LLEVANT;;030043E
471;375041N;MURCIA;646;7203A;LORCA, ZARCILLA DE RAMOS;;015211W
472;410842N;TARRAGONA;71;0016A;REUS AEROPUERTO;8175;010949E
473;390808N;ILLES BALEARS;165;B398A;CABRERA, PARQUE NACIONAL DE CABRERA;;025612E
474;380820N;MURCIA;170;7237E;MOLINA DE SEGURA;;010931W
475;411949N;BARCELONA;177;0066X;VILAFRANCA DEL PENED?S;;014037E
476;394734N;ILLES BALEARS;842;B684A;ESCORCA, SON TORRELLA;;024716E
477;390458N;VALENCIA;855;8203O;ZARRA;8283;010603W
478;421909N;GIRONA;75;0433D;CABO DE CREUS;8121;031856E
479;395934N;ILLES BALEARS;20;B860X;CIUTADELLA;;035114E
480;400611N;CUENCA;1160;8210Y;SALVACA?ETE;;013013W
481;430557N;BIZKAIA;747;1069Y;ABADI?O, URKIOLA;;023839W
482;385747N;ILLES BALEARS;32;B925;SANT ANTONI DE PORTMANY;;011917E
483;384946N;VALENCIA;350;8283X;ONTINYENT;;003628W
484;430849N;CANTABRIA;460;1135C;LOS TOJOS, B?RCENA MAYOR;;041251W
485;283914N;STA. CRUZ DE TENERIFE;844;C126A;EL PASO;;175111W
486;391105N;VALENCIA;12;8325X;POLINY? DE X?QUER;8287;002219W
487;432112N;ASTURIAS;336;1249I;OVIEDO;8015;055227W
488;282718N;STA. CRUZ DE TENERIFE;19;C129V;FUENCALIENTE;;175028W
489;394203N;VALENCIA;24;8446Y;SAGUNT/SAGUNTO;;001532W
490;432756N;ASTURIAS;410;1327A;VILLAY?N, ONETA;;064024W
491;280523N;STA. CRUZ DE TENERIFE;15;C329Z;SAN SEBASTI?N DE LA GOMERA;60008;170641W
492;422516N;BURGOS;820;9111;BELORADO;8077;031013W
493;425607N;A CORU?A;340;1406X;MAZARICOS;;085937W
494;281252N;STA. CRUZ DE TENERIFE;476;C418I;CITFAGRO_05_GUIAISO1;;164723W
495;423447N;HUESCA;832;9201X;JACA;8091;003242W
496;430640N;LUGO;442;1505;LUGO AEROPUERTO;8008;072727W
